               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065843,            0.058384,             0.02646,             0.55937,             0.54086,             0.57503,             0.36579,            0.053058,            0.029495,            0.010636,            0.086463,           0.0014629,           0.0014629
                   2,            0.057076,            0.055752,            0.023714,             0.54458,             0.59919,             0.63392,             0.39752,            0.051072,            0.029265,            0.010009,            0.079186,           0.0021861,           0.0021861
                   3,            0.056164,            0.052121,            0.022708,             0.61735,             0.62222,             0.67883,             0.43742,            0.048461,            0.029026,           0.0095563,             0.07187,           0.0028698,           0.0028698
                   4,            0.053729,            0.054793,            0.021086,             0.67531,             0.62058,             0.69707,             0.42877,            0.048387,            0.029368,           0.0092797,            0.064514,           0.0035139,           0.0035139
                   5,            0.051698,             0.05147,            0.018885,             0.69183,             0.63393,             0.69739,             0.42465,             0.04753,            0.028464,           0.0090344,            0.057118,           0.0041184,           0.0041184
                   6,            0.051976,            0.046121,            0.016616,             0.68032,             0.65225,             0.69481,             0.40028,             0.04799,            0.027319,           0.0085452,            0.049683,           0.0046832,           0.0046832
                   7,            0.050687,            0.047688,            0.016567,             0.75624,             0.62857,             0.71317,             0.41289,            0.049885,             0.02664,           0.0082228,            0.042209,           0.0052085,           0.0052085
                   8,            0.052165,            0.045379,            0.014083,             0.70043,             0.65836,             0.71669,             0.40467,            0.048784,            0.025471,           0.0078557,            0.034694,           0.0056942,           0.0056942
                   9,            0.052456,            0.046004,            0.016706,             0.68232,             0.68355,              0.7251,             0.41796,             0.04893,            0.025711,           0.0079012,             0.02714,           0.0061403,           0.0061403
                  10,            0.051539,            0.047296,             0.01572,             0.61759,             0.71857,             0.71226,             0.43776,            0.048535,            0.024465,           0.0069714,            0.019547,           0.0065467,           0.0065467
                  11,            0.054263,            0.046731,            0.016599,             0.68097,             0.69643,             0.72561,              0.4588,              0.0483,            0.024351,           0.0066556,            0.011914,           0.0069136,           0.0069136
                  12,            0.051882,            0.045025,            0.015866,             0.68973,             0.68128,             0.73008,              0.4528,            0.048505,            0.024072,           0.0064738,             0.00703,             0.00703,             0.00703
                  13,             0.04968,            0.043661,            0.015902,              0.7479,             0.67157,             0.73245,             0.41493,             0.04826,             0.02407,           0.0064805,             0.00703,             0.00703,             0.00703
                  14,            0.052294,            0.046449,            0.015853,             0.80173,             0.69059,             0.75981,             0.48118,            0.045711,            0.023919,           0.0064437,           0.0067825,           0.0067825,           0.0067825
                  15,             0.05123,            0.044715,             0.01408,             0.75133,             0.70143,             0.76703,             0.46114,            0.045338,            0.023728,           0.0061309,            0.006535,            0.006535,            0.006535
                  16,            0.048828,            0.046173,            0.012658,             0.77477,             0.69601,             0.75928,             0.45755,            0.046316,            0.023591,           0.0060053,           0.0062875,           0.0062875,           0.0062875
