               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073592,            0.056679,            0.014803,             0.30019,             0.74938,             0.47861,              0.3323,            0.058551,            0.028044,           0.0071218,              0.0937,              0.0007,              0.0007
                   1,            0.058529,            0.053032,            0.015499,             0.51261,             0.74622,             0.66167,             0.48364,            0.044948,            0.025901,           0.0066422,            0.086351,           0.0013515,           0.0013515
                   2,            0.048593,            0.049606,            0.014168,             0.59435,             0.72524,             0.71889,             0.53581,             0.04214,            0.024882,           0.0063113,            0.078845,           0.0018446,           0.0018446
                   3,            0.046915,            0.046299,            0.013801,             0.63667,             0.75854,             0.75609,             0.56101,            0.039307,            0.023936,           0.0059739,            0.071179,           0.0021793,           0.0021793
                   4,            0.043788,            0.047557,            0.013026,             0.68551,             0.75254,             0.77657,             0.58138,            0.037644,            0.023264,           0.0057282,            0.063356,           0.0023556,           0.0023556
                   5,            0.041529,            0.044677,            0.011798,             0.74241,             0.75165,             0.80475,             0.60381,            0.036211,            0.022441,           0.0054291,            0.055374,           0.0023735,           0.0023735
                   6,            0.041128,            0.040087,            0.010952,             0.75615,             0.76545,              0.8192,             0.59885,            0.035695,            0.022017,           0.0051317,            0.047233,            0.002233,            0.002233
                   7,            0.038968,            0.041138,            0.010697,              0.7798,             0.78303,             0.83624,             0.63375,            0.034637,            0.021485,           0.0049312,            0.038934,           0.0019341,           0.0019341
                   8,            0.040033,            0.040121,           0.0093515,             0.76782,             0.79389,             0.83658,             0.63129,            0.033909,            0.021022,           0.0047734,            0.030477,           0.0014768,           0.0014768
                   9,            0.038724,            0.039574,             0.01115,             0.80869,             0.78614,             0.84861,             0.64796,            0.033205,            0.020808,           0.0047066,            0.021861,           0.0008611,           0.0008611
