               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065824,             0.05838,            0.026458,             0.55771,             0.54079,             0.57498,             0.36662,            0.053031,            0.029505,            0.010628,            0.086479,           0.0014788,           0.0014788
                   2,            0.057044,            0.055726,            0.023691,             0.54773,             0.59588,             0.63466,             0.39633,            0.051037,            0.029272,           0.0099995,            0.079235,           0.0022349,           0.0022349
                   3,            0.056131,            0.052083,            0.022657,             0.61872,             0.62407,             0.67669,             0.43328,            0.048472,            0.029042,           0.0095484,            0.071968,           0.0029685,           0.0029685
                   4,            0.053754,            0.054721,            0.021021,             0.67075,             0.62124,             0.69866,             0.42804,            0.048544,            0.029404,           0.0092731,            0.064679,           0.0036794,           0.0036794
                   5,            0.051809,            0.051367,            0.018821,             0.70351,             0.63154,             0.68764,             0.41204,            0.047794,            0.028421,           0.0090239,            0.057368,           0.0043676,           0.0043676
                   6,            0.052301,            0.045963,            0.016509,             0.69019,              0.6356,              0.6871,             0.39687,            0.048521,             0.02724,           0.0085294,            0.050033,           0.0050333,           0.0050333
                   7,            0.051048,            0.047579,            0.016436,             0.74726,             0.62563,             0.70603,               0.396,             0.05069,            0.026658,            0.008189,            0.042676,           0.0056763,           0.0056763
                   8,            0.052869,            0.045232,            0.014043,             0.66827,             0.65219,             0.70342,             0.39244,            0.049021,             0.02543,           0.0078292,            0.035297,           0.0062967,           0.0062967
                   9,            0.052562,            0.045836,            0.016698,             0.61253,             0.70335,             0.69789,             0.39785,            0.048969,            0.026065,           0.0081146,            0.027894,           0.0068944,           0.0068944
                  10,            0.051644,            0.047134,            0.015609,             0.57005,             0.68006,             0.66461,             0.39655,            0.052241,            0.024773,           0.0072751,             0.02047,           0.0074696,           0.0074696
                  11,             0.05447,            0.046456,            0.016728,             0.66523,             0.70466,              0.7171,              0.4318,            0.049758,            0.024285,           0.0065575,            0.013022,           0.0080221,           0.0080221
                  12,            0.053102,            0.044801,            0.015788,              0.7379,             0.65601,             0.73135,             0.41167,            0.050136,            0.024353,           0.0064974,           0.0083029,           0.0083029,           0.0083029
                  13,            0.050996,            0.043621,            0.015852,             0.73826,             0.66653,             0.73229,             0.38579,            0.049947,            0.024229,           0.0067799,           0.0083029,           0.0083029,           0.0083029
                  14,            0.053229,            0.046221,            0.016017,               0.772,             0.66417,             0.73184,             0.41327,            0.049624,            0.024185,           0.0066459,           0.0081614,           0.0081614,           0.0081614
                  15,            0.054167,            0.044768,            0.014206,             0.73057,             0.69093,              0.7369,             0.44037,             0.04729,            0.023807,           0.0063119,             0.00802,             0.00802,             0.00802
                  16,            0.050459,            0.046031,            0.012884,             0.76439,             0.67797,             0.74108,             0.42608,             0.04807,            0.023619,           0.0062802,           0.0078786,           0.0078786,           0.0078786
                  17,            0.049415,            0.040872,            0.013478,             0.69516,             0.72461,             0.75601,             0.47697,            0.045908,            0.023004,           0.0061295,           0.0077371,           0.0077371,           0.0077371
                  18,            0.047726,            0.040822,            0.013983,             0.73467,             0.71954,             0.76806,             0.46012,            0.046298,            0.022825,           0.0061274,           0.0075957,           0.0075957,           0.0075957
                  19,            0.050496,            0.041538,            0.012387,             0.77741,             0.74081,             0.78667,             0.47502,            0.044417,            0.022571,           0.0061278,           0.0074543,           0.0074543,           0.0074543
                  20,            0.049361,            0.039538,            0.012731,             0.76569,             0.72347,             0.77553,             0.46234,             0.04505,             0.02243,            0.005913,           0.0073129,           0.0073129,           0.0073129
                  21,            0.047292,            0.043524,             0.01403,             0.75785,             0.73368,             0.79624,             0.50657,            0.043082,            0.022281,           0.0058141,           0.0071714,           0.0071714,           0.0071714
                  22,            0.048342,            0.042747,             0.01195,             0.77545,             0.74552,             0.81146,             0.49945,            0.043122,            0.022008,           0.0056131,             0.00703,             0.00703,             0.00703
                  23,            0.046619,            0.042311,            0.012967,             0.79794,             0.75939,             0.81058,             0.50927,            0.042447,            0.022337,           0.0054803,           0.0068886,           0.0068886,           0.0068886
                  24,            0.047704,            0.042858,            0.011314,              0.7626,             0.76259,             0.81151,             0.48689,            0.043393,            0.021962,           0.0055411,           0.0067471,           0.0067471,           0.0067471
                  25,            0.047086,            0.038086,            0.012144,             0.79366,             0.74942,             0.82456,             0.50275,            0.042104,            0.021267,           0.0056032,           0.0066057,           0.0066057,           0.0066057
