               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079465,            0.059206,            0.024417,             0.34795,             0.53458,              0.4134,             0.25948,            0.064537,            0.029916,            0.011768,              0.0937,              0.0007,              0.0007
                   1,            0.065884,            0.058394,            0.026472,             0.55509,             0.54771,             0.57557,             0.36642,            0.053078,            0.029495,            0.010647,            0.086426,           0.0014257,           0.0014257
                   2,            0.057129,            0.055817,            0.023774,             0.53814,             0.60548,             0.63297,             0.39791,            0.051128,            0.029246,            0.010031,            0.079072,           0.0020723,           0.0020723
                   3,            0.056265,            0.052223,            0.022819,             0.61746,             0.62409,             0.67846,             0.44099,            0.048531,            0.029009,           0.0095825,             0.07164,           0.0026396,           0.0026396
                   4,            0.053773,            0.054999,             0.02126,             0.68772,             0.62177,             0.70319,             0.44129,             0.04806,            0.029265,           0.0092876,            0.064128,           0.0031278,           0.0031278
                   5,            0.051675,            0.051729,            0.019066,              0.7223,             0.63144,             0.70193,             0.43654,            0.047053,            0.028555,           0.0090528,            0.056537,           0.0035367,           0.0035367
                   6,            0.051561,            0.046468,            0.016857,             0.76636,             0.61868,              0.7169,             0.43244,            0.046948,            0.027405,           0.0085983,            0.048867,           0.0038665,           0.0038665
                   7,            0.050053,            0.047958,             0.01693,             0.75289,             0.61855,             0.70798,             0.43457,            0.047829,            0.026487,           0.0081694,            0.041117,           0.0041171,           0.0041171
                   8,            0.051811,            0.045761,            0.014319,             0.74459,              0.6775,             0.73984,             0.44723,            0.046394,             0.02564,           0.0078468,            0.033288,           0.0042884,           0.0042884
                   9,            0.051281,            0.046514,            0.016944,             0.67792,             0.70064,             0.74261,             0.44167,            0.046546,            0.025332,            0.007673,            0.025381,           0.0043806,           0.0043806
                  10,            0.049989,            0.047768,            0.015959,             0.70298,             0.69191,             0.73529,             0.45801,            0.045492,            0.024641,           0.0071403,            0.017394,           0.0043935,           0.0043935
                  11,            0.052807,            0.047073,            0.016748,             0.70074,             0.71347,             0.75124,             0.48175,            0.044664,            0.024495,           0.0068836,           0.0093273,           0.0043273,           0.0043273
                  12,            0.049448,            0.045776,            0.016147,             0.75226,             0.69669,             0.75345,             0.49211,            0.044239,            0.024263,           0.0066513,             0.00406,             0.00406,             0.00406
                  13,            0.046377,            0.044412,            0.016317,             0.71249,             0.69002,             0.73185,             0.48396,            0.044744,            0.024019,           0.0065166,             0.00406,             0.00406,             0.00406
                  14,             0.05024,            0.046898,            0.015729,             0.75394,             0.69966,             0.75602,             0.50678,            0.042437,            0.023876,           0.0063558,            0.003565,            0.003565,            0.003565
                  15,            0.048415,            0.045466,            0.014284,             0.77746,             0.73359,               0.775,             0.52469,            0.041299,            0.023678,           0.0061811,             0.00307,             0.00307,             0.00307
                  16,            0.046007,            0.046794,             0.01274,             0.78602,             0.70249,             0.76873,             0.52627,            0.040733,            0.023549,           0.0060034,            0.002575,            0.002575,            0.002575
                  17,             0.04426,            0.041652,            0.013266,             0.79423,             0.72343,             0.77648,             0.54193,            0.040301,            0.023217,           0.0058117,             0.00208,             0.00208,             0.00208
                  18,             0.04363,            0.041822,             0.01419,             0.81863,             0.69894,              0.7715,             0.52904,            0.039949,            0.022908,           0.0056503,            0.001585,            0.001585,            0.001585
                  19,            0.045757,            0.042976,            0.012763,             0.83149,             0.70612,             0.77749,              0.5432,            0.039467,             0.02273,           0.0055668,             0.00109,             0.00109,             0.00109
