               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12572,            0.019433,                   0,            0.014525,             0.42105,            0.013417,           0.0026037,            0.075919,            0.012486,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11039,            0.020773,                   0,             0.01284,             0.63158,            0.017106,           0.0032183,             0.06887,            0.012376,                   0,             0.08647,           0.0014703,           0.0014703
                   2,            0.088311,            0.022615,                   0,             0.04258,             0.26316,            0.041771,           0.0087155,            0.058562,            0.012225,                   0,            0.079209,           0.0022089,           0.0022089
                   3,            0.075466,            0.025158,                   0,             0.16902,             0.28947,              0.1528,            0.034899,            0.055937,            0.011095,                   0,            0.071916,           0.0029159,           0.0029159
                   4,            0.069209,             0.02473,                   0,             0.24867,             0.65789,             0.33452,             0.12241,            0.044295,            0.010508,                   0,            0.064591,           0.0035911,           0.0035911
                   5,            0.060224,            0.022747,                   0,             0.72523,             0.39474,             0.62329,             0.19472,            0.054231,           0.0090718,                   0,            0.057235,           0.0042347,           0.0042347
                   6,            0.067914,            0.019525,                   0,             0.74213,             0.55263,              0.7452,             0.26021,            0.046165,            0.009794,                   0,            0.049847,           0.0048466,           0.0048466
                   7,             0.06405,             0.01886,                   0,             0.85025,             0.63158,             0.79664,             0.35672,            0.040848,           0.0094189,                   0,            0.042427,           0.0054268,           0.0054268
                   8,             0.06112,            0.019133,                   0,               0.209,             0.78947,             0.22005,             0.10169,            0.039681,           0.0072552,                   0,            0.034975,           0.0059754,           0.0059754
                   9,            0.061356,            0.017874,                   0,             0.68468,             0.68421,             0.82824,             0.28983,            0.039204,            0.006439,                   0,            0.027492,           0.0064922,           0.0064922
                  10,            0.058714,            0.018686,                   0,             0.61436,             0.62892,             0.66067,             0.25406,            0.044786,           0.0061798,                   0,            0.019977,           0.0069774,           0.0069774
                  11,            0.060196,            0.019559,                   0,             0.57906,             0.68421,             0.64785,             0.21951,            0.036992,           0.0050341,                   0,            0.012431,           0.0074309,           0.0074309
                  12,            0.060336,             0.01597,                   0,             0.64685,             0.77134,             0.79369,             0.33346,            0.032097,           0.0049966,                   0,            0.007624,            0.007624,            0.007624
                  13,            0.049614,            0.018419,                   0,             0.70662,             0.76316,             0.80267,              0.3324,            0.033082,           0.0043091,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.053984,            0.016225,                   0,              0.7965,             0.86842,             0.92363,             0.39687,            0.031626,           0.0043664,                   0,            0.007426,            0.007426,            0.007426
